,auth,count
0,Sailesh Tanna,30
1,Simon Huston,24
2,Piotr Lis,18
3,Abdurafiu Noah,18
4,Sarkar Kabir,16
5,Eliana Lauretta,14
6,Rashedul Hasan,12
7,Hafij Ullah,12
8,Isaiah Oino,12
9,Mehtap Hisarciklilar,12
10,Ibrahim Elmghaamez,8
11,Jin Suk Park,8
12,Mei Yu,7
13,Ahmad Abras,7
14,Dimitris Serenis,7
15,Lien Luu,7
16,Panos Andrikopoulos,7
17,Judith Kabajulizi,6
18,Uchenna Tony-Okeke,5
19,Loai Alsaid,5
20,Alaa Alhaj Ismail,5
21,Thang Nguyen,5
22,Ejike Udeogu,5
23,Wei Song,5
24,Rami Ayoubi,5
25,Mohammad Khaleq Newaz,4
26,Mohammad Khaleq Newaz,4
27,Tariq Al Montaser,4
28,Salem Alhababsah,4
29,Nikhil Sapre,4
30,Kenneth Baldwin,4
31,Alireza Zarei,3
32,Panagiotis Andrikopoulos,3
33,Panagiotis Andrikopoulos,3
34,Panagiotis Andrikopoulos,3
35,Masud Ibrahim,3
36,Ahmed Saleh,3
37,Mehdi Hosseini,3
38,Sandar Win,3
39,Samir Alamad,3
40,Daniel Aghanya,3
41,Thai Nguyen,3
42,Abay Mulatu,3
43,Glauco De Vita,3
44,S. Huston,3
45,Dimitrios Serenis,3
46,Hailin Liao,3
47,Yilmaz Guney,2
48,Yilmaz Guney,2
49,Daniel Santamaria,2
50,Daniel Santamaria,2
51,Junyuan Chen,2
52,Mahbub Khan,2
53,Akin Sharimakin,2
54,Olubunmi Ajala,2
55,Alloysius Egbulonu,2
56,Maktoba Omar,2
57,Elijah Acquah-Andoh,2
58,Graham Sadler,2
59,Amir Khorasgani,2
60,Hafiz Ubaid Ur Rahman Rahmani,2
61,Jaliyyah Ahmadu-Bello,2
62,Mohamad Nazri Abd Karim,2
63,Mark Holmes,2
64,Yun Luo,2
65,Francis Darko,2
66,Jun Wang,2
67,Yu Wang,2
68,Ruth Owusu-Mensah,1
69,John Ayuk Enombu,1
70,Boying Xu,1
71,Boying Xu,1
72,Francis Awuku Darko,1
73,Francis Awuku Darko,1
74,Mehul Chhatbar,1
75,Angelos Synapis,1
76,Angelos Synapis,1
77,Styliani Panetsidou,1
78,Luda Ruddock,1
79,Luda Ruddock,1
80,Umut Turksen,1
81,Simon Horsman,1
82,Hany Ahmed,1
83,Daniel Range,1
84,Jaliyyah Bello,1
85,Ken Baldwin,1
86,Faisal Shahzad,1
87,Mansoob Murshed,1
88,Pythagoras Petratos,1
89,Randy Silvers,1
90,R.M. Ayoubi,1
91,Joan Lockyer,1
92,Saliesh Tanna,1
93,S.H. Huston,1
94,Jim Serenis,1
95,Jim Serenis,1
96,Syed Mansoob Murshed,1
97,M. Newaz,1
98,M. Newaz,1
99,Mas’ud Usman Ibrahim,1
100,Mohamad Nazri Mohamad,1
101,Dimitria Serenis,1
102,Harjit Sekhon,1
103,Graham V. Sadler,1
