text,id
bibliometr review waqf literatur rashedul hasan jun 2022,0
note covid19 instig maximum drawdown islam market versu convent counterpart rashedul hasan may 2022,1
bank stock valuat theori explain price base theori alireza zarei 1 mar 2022,2
ceo dualiti firm perform systemat review research agenda mei yu 25 may 2022,3
ceo financi experi firm earn manag import experi specif thai nguyen thang nguyen panagiotis andrikopoulos 7 mar 2022,4
ceo tenur cost debt andrews owusu ruth owusu mensah 21 jun 2022,5
cheat behaviour among opec memberst oil price fair stabil empir analysi masud ibrahim 2022,6
clinician inform acquisit account literaci uk clinic commiss group john ayuk enombu 22 jun 2022,7
compet institut logic power dynam islam financi report standardis project ahmad abras 10 may 2022,8
corpor govern ifsb standard4 evid islam bank bangladesh hafij ullah 18 jan 2022,9
corpor hedg cost equiti capit hany ahmed yilmaz guney 2022,10
corpor social respons firm effici evid endogen cost ineffici stochast frontier analysi abay mulatu boying xu 1 may 2022,11
corpor social respons financi perform product servicebas firm list london stock exchang ibrahim elmghaamez 1 apr 2022,12
determin inform entrepreneurship africa andrews owusu andrews owusu 2022,13
diffus theori transnat anteced intern standard audit adopt around world ibrahim elmghaamez apr 2022,14
dissect effect famili busi exposur entrepreneuri implement intent uchenna tony okeke 6 may 2022,15
famili ownership matter dividend payout decis evid familyfirm domin countri muhammad shahin miah 12 apr 2022,16
femal board member influenc corpor social respons perform isaiah oino jul 2022,17
integr financi extrafinanci narr disclosur manag commentari affect firm valuat intern evid muhammad shahin miah feb 2022,18
noncommunic diseas influenc sustain develop subsaharan africa panel autoregress distribut lag model approach judith kabajulizi francis awuku darko mar 2022,19
editori new develop corpor govern research loai alsaid 21 jun 2022,20
evolut research financ last two decad topograph view rashedul hasan jan 2022,21
financi contagion effect major crise african stock market jaliyyah bello mohammad khaleq newaz jul 2022,22
fintech financi inclus incom inequ quantil regress approach  2022,23
futur educ research preliminari themat analysi simon huston huston  s  2 may 2022,24
gender divers financi statement fraud mei yu 1 mar 2022,25
ifr 8 cost capit europ ahmed saleh 19 jan 2022,26
interbank liquid risk transmiss larg emerg market crisi period alireza zarei mehdi hosseini jul 2022,27
tradeoff accrualbas real earn manag activ presenc fe male auditor andrews owusu andrews owusu feb 2022,28
kuala lumpur tin mine settlement neoliber stronghold southeast asia simon huston 22 feb 2022,29
measur impact corpor govern nonfinanci report top hei worldwid mehul chhatbar 12 may 2022,30
middl eastern extinct build religi motiv speci protect tariq al montaser 30 may 2022,31
nonexecut employe ownership financi report qualiti evid europ alaa alhaj ismail 22 apr 2022,32
price runup insid trade law differ regulatori environ styliani  elina  panetsidou angelos synapis 15 apr 2022,33
smart citi dynam multilevel manag account unfold case sustain enterpris resourc plan loai alsaid 3 jan 2022,34
social respons invest sri sukuk financ altern post covid19 develop project rashedul hasan 19 apr 2022,35
strateg trade ricardian compar advantag  mar 2022,36
student feedback experi expect pre postunivers entri  29 jan 2022,37
sustain account report abl reflex themat analysi climat crisi conserv radic reform paradigm simon huston huston  s  2 jan 2022,38
sustain account report technic summari simon huston 30 may 2022,39
diffus innov theori effect ifr adopt multin corpor capit market perform crosscountri analysi ibrahim elmghaamez 1 jan 2022,40
nexu environment financi perform evid gulf cooper council bank rashedul hasan 31 mar 2022,41
rel effect rd tax credit rd subsidi compar metaregress analysi mehtap hisarciklilar jul 2022,42
rise fall institut entrepreneurship islam financi report standardis project ahmad abras 10 apr 2022,43
role manageri ownership dividend tunnel evid china  8 jul 2022,44
tourism export case singapor dimitris serenis 18 may 2022,45
unveil black swan financegrowth nexu assumpt preliminari evid virtuou unvirtu cycl eliana lauretta daniel santamaria 12 apr 2022,46
sukuk islam bond need differ price model sarkar kabir sarkar kabir apr 2022,47
global analysi privat invest public equiti styliani panetsidou aug 2021,48
histor institutionalist perspect persist state control financi sector reform insight case myanmar sandar win 26 jan 2021,49
apprais turkey voluntari individu pension system perspect pension equal mehtap hisarciklilar sep 2021,50
novel method measur time websit reconstruct tariq al montaser 2021,51
bank risk disclosur inform evid debt market andrews owusu andrews owusu jan 2021,52
audit committe audit qualiti empir analysi consid industri expertis legal expertis gender divers salem alhababsah mar 2021,53
bank solvenc role credit liquid risk regulatori capit econom stabil isaiah oino 22 nov 2021,54
citizen scienc increas trust research case studi delin polish metropolitan area piotr lis 17 may 2021,55
databas facilit account case australian mercuri account via nation pollut inventori hafij ullah 8 jan 2021,56
carbon emiss firm perform evid financi nonfinanci firm select emerg economi rashedul hasan 30 nov 2021,57
corpor adopt sdg report nonen institut environ insight libyan oil industri tariq al montaser dec 2021,58
corpor board innov manageri control implic corpor govern devianc perspect rashedul hasan 8 jun 2021,59
corpor environment account nigeria exampl regulatori failur regulatori captur abdurafiu noah 26 jan 2021,60
corpor fraud risk manag fraud risk manag model  nov 2021,61
corpor govern financi perform firm list asian pacif stock evid malaysia thailand singapor ibrahim elmghaamez 18 sep 2021,62
corpor social respons much enough higher dimens perspect relationship financi social perform  nov 2021,63
corrupt bank effici expand sand greas wheel hypothesi gulf cooper council rashedul hasan 10 aug 2021,64
