pub_link,pub_title,pub_date,auth_name,auth_link,id,auth_name_extract,text
https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-review-of-the-waqf-literature,A bibliometric review of the Waqf literature,jun 2022,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],0,rashedul hasan,a bibliometric review of the waqf literature rashedul hasan jun 2022
https://pureportal.coventry.ac.uk/en/publications/a-note-on-covid-19-instigated-maximum-drawdown-in-islamic-markets,A note on COVID-19 instigated maximum drawdown in Islamic markets versus conventional counterparts,may 2022,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],1,rashedul hasan,a note on covid-19 instigated maximum drawdown in islamic markets versus conventional counterparts rashedul hasan may 2022
https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the,Bank stock valuation theories do they explain prices based on theories?,1 mar 2022,Alireza Zarei,['https://pureportal.coventry.ac.uk/en/persons/alireza-zarei'],2,alireza zarei,bank stock valuation theories do they explain prices based on theories? alireza zarei 1 mar 2022
https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research,CEO Duality and Firm Performance A Systematic Review and Research Agenda,25 may 2022,Mei Yu,['https://pureportal.coventry.ac.uk/en/persons/mei-yu'],3,mei yu,ceo duality and firm performance a systematic review and research agenda mei yu 25 may 2022
https://pureportal.coventry.ac.uk/en/publications/ceo-financial-experience-and-firms-earnings-management-in-mampa-t,CEO Financial Experience and Firms Earnings Management in M&A the importance of Experience Specificity,7 mar 2022,"Thai Nguyen, Thang Nguyen, Panagiotis Andrikopoulos","['https://pureportal.coventry.ac.uk/en/persons/thai-nguyen', 'https://pureportal.coventry.ac.uk/en/persons/thang-nguyen', 'https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos']",4,thai nguyen thang nguyen panagiotis andrikopoulos,ceo financial experience and firms earnings management in m&a the importance of experience specificity thai nguyen thang nguyen panagiotis andrikopoulos 7 mar 2022
https://pureportal.coventry.ac.uk/en/publications/ceo-tenure-and-cost-of-debt,CEO tenure and cost of debt,aug 2022,Ruth Owusu-Mensah,['https://pureportal.coventry.ac.uk/en/persons/ruth-owusu-mensah-2'],5,ruth owusu mensah,ceo tenure and cost of debt ruth owusu mensah aug 2022
https://pureportal.coventry.ac.uk/en/publications/cheating-behaviour-among-opec-member-states-and-oil-price-fairnes,Cheating Behaviour among OPEC Member-States and Oil Price Fairness and Stability An Empirical Analysis,2022,Masud Ibrahim,['https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim'],6,masud ibrahim,cheating behaviour among opec member-states and oil price fairness and stability an empirical analysis masud ibrahim 2022
https://pureportal.coventry.ac.uk/en/publications/clinicians-informal-acquisition-of-accounting-literacy-in-uk-clin,Clinicians informal acquisition of accounting literacy in UK clinical commissioning groups,22 jun 2022,John Ayuk Enombu,['https://pureportal.coventry.ac.uk/en/persons/john-ayuk-enombu'],7,john ayuk enombu,clinicians informal acquisition of accounting literacy in uk clinical commissioning groups john ayuk enombu 22 jun 2022
https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina,Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,10 may 2022,Ahmad Abras,['https://pureportal.coventry.ac.uk/en/persons/ahmad-abras'],8,ahmad abras,competing institutional logics and power dynamics in islamic financial reporting standardisation projects ahmad abras 10 may 2022
https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-ifsb-standard-4-evidence-from-islamic-ba,Corporate Governance and IFSB Standard-4 Evidence from Islamic Banks in Bangladesh,18 jan 2022,Hafij Ullah,['https://pureportal.coventry.ac.uk/en/persons/hafij-ullah'],9,hafij ullah,corporate governance and ifsb standard-4 evidence from islamic banks in bangladesh hafij ullah 18 jan 2022
